"Designator","MPN","Qty","Link"
"ACT1, P1, P2, P3, P4, ","19-217/GHC-YR1S2/3T","5","https://lcsc.com/product-detail/Others_TOGIALED-TJ-S1608SW6TGLC2R-A5_C192315.html"
"C1, ","VZH221M1HTR-1010","1","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_Lelon-VZH221M1HTR-1010_C134819.html/?href=jlc-SMT"
"C2, C65, ","0402B222K500NT","2","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_2-2nF-222-10-50V_C1531.html/?href=jlc-SMT"
"C3, C4, C55, C56, C61, ","CL05A105KA5NQNC","5",""
"C5, C11, C30, C32, C34, C59, ","302010053","6",""
"C6, ","508000001","1",""
"C7, C14, C15, ","CL05B103KB5NNNC","3",""
"C8, ","508000001","1",""
"C9, C66, ","302010005","2",""
"C10, C17, C18, C19, C20, C21, C22, C28, C29, C31, C33, C35, C36, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C57, C58, C63, ","302010024","31",""
"C12, C13, ","VES470M1CTR-0505","2",""
"C23, ","302010233","1",""
"C24, C25, C26, C27, ","508000001","4",""
"C37, C60, ","CL10A226MQ8NRNE","2",""
"C62, C64, ","302030006","2",""
"D1, ","1N4148WSF-7","1",""
"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, ","WS2812B-MINI(WS2812B-3535)","12","https://lcsc.com/product-detail/Others_WS2812B-Mini-WS2812B-3535_C189639.html"
"D14, ","SS54F","1",""
"D15, ","B5819W","1",""
"D20, ","BAT54ALT1G","1",""
"FB1, FB2, FB3, FB4, FB7, FB8, FB9, ","MLB3216-301P3A(f)","7",""
"FB5, FB6, ","MMZ1608Y601BTA00","2",""
"J1, ","DC-012-5A-2.0","1","https://lcsc.com/product-detail/Power-Connectors_XKB-Connectivity-DC-012-5A-2-0_C381117.html"
"J3, ","B2B-PH-SM4-TB(LF)(SN)","1","https://www.newark.com/jst-japan-solderless-terminals/b2b-ph-sm4-tb-lf-sn/wire-to-board-connector-header/dp/37K9941?CMP=AFC-OP"
"J4, ","B2B-PH-SM4-TB(LF)(SN)","1","https://www.newark.com/jst-japan-solderless-terminals/b2b-ph-sm4-tb-lf-sn/wire-to-board-connector-header/dp/37K9941?CMP=AFC-OP"
"J6, ","FH412-2*20P 0.8U","1","https://www.taydaelectronics.com/connectors-sockets/2x20-pin-2-54mm-dounle-row-right-angle-female-pin-header.html"
"J7, ","U254-051T-4BH83-F1B","1",""
"J13, ","A2541HWR-4P","1","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541HWR-4P_C225512.html"
"L1, ","TMAX-1365-470-M","1","https://lcsc.com/product-detail/Power-Inductors_TDG-TMAX-1365-470-M_C429835.html"
"L2, ","LQH32PN2R2NN0L","1",""
"PWR1, PWR2, ","304090042","2","https://lcsc.com/product-detail/Others_TOGIALED-TJ-S1608SW6TGLC2R-A5_C192315.html"
"Q3, ","AO3401A","1",""
"Q4, ","2N7002","1",""
"R1, R2, R20, R39, R42, R47, R48, R49, R50, R51, R52, ","RC0402FR-0710KL","11",""
"R3, ","0402WGF7502TCE","1",""
"R4, ","0402WGF3303TCE","1",""
"R5, ","0402WGF100JTCE","1",""
"R6, R7, ","0402WGF2203TCE","2",""
"R8, ","0402WGF3301TCE","1",""
"R10, R11, R43, R44, R45, R46, ","0402WGF1000TCE","6",""
"R17, R18, R21, R22, ","0402WGF2002TCE","4",""
"R23, R26, R40, ","301010005","3",""
"R24, ","RC0402FR-074R7L","1",""
"R27, R30, ","0402WGF1003TCE","2",""
"R28, ","0402WGF6800TCE","1",""
"R29, R33, R38, R53, ","301010466","4",""
"R31, ","RTT032701FTP","1",""
"R32, R34, R35, R36, ","0402WGF330JTCE","4",""
"R41, ","0402WGF4701TCE","1",""
"S1, ","TL3342F160QG/TR","1","https://www.digikey.com/product-detail/en/e-switch/TL3342F160QG-TR/EG2531CT-ND/379004"
"S2, ","TL3342F160QG/TR","1","https://www.digikey.com/product-detail/en/e-switch/TL3342F160QG-TR/EG2531CT-ND/379004"
"S3, ","TL3342F160QG/TR","1","https://www.digikey.com/product-detail/en/e-switch/TL3342F160QG-TR/EG2531CT-ND/379004"
"SW1, ","PCM12SMTR","1",""
"U1, ","XL4501E1","1",""
"U2, U12, ","NCP303LSN09T1G","2",""
"U3, ","MAX9744ETH+T","1",""
"U4, ","AMS1117-3.3","1",""
"U5, ","SN74LVC125APWR","1",""
"U6, ","FE1.1S","1",""
"U7, ","MP2359DJ-LF-Z","1",""
"U8, ","XVF3510-QF60-C","1","https://www.digikey.com/products/en/integrated-circuits-ics/audio-special-purpose/741?k=XVF3510"
"U9, ","AT25SF161-SSHD-T","1","https://www.digikey.com/product-detail/en/adesto-technologies/AT25SF161-SSHD-T/1265-1230-2-ND/6124893"
"U10, U11, ","SPK0641HT4H-1","2","https://www.digikey.com/product-detail/en/knowles/SPK0641HT4H-1/423-1425-1-ND/8573351"
"U13, ","UDA1334ATS/N2,118","1","https://lcsc.com/product-detail/Analog-To-Digital-Converters-ADCs_NXP-Semicon-UDA1334ATS-N2-118_C494494.html"
"U14, ","ATTINY402-SSNR","1",""
"X1, ","SG-210STF 24.0000ML3","1","https://www.digikey.com/product-detail/en/epson/SG-210STF-24.0000ML3/SER4323CT-ND/7932310"
"Y2, ","X322512MSB4SI","1",""
