Part/Designator,Manufacture Part Number,Seeed SKU,Quantity,Link
"C13,C14,C24,C25,C26,C27",0402B471K500NT,-----------------,6,
"R43,R44,R45,R46",0402WGF1000TCE,,4,
R30,0402WGF1003TCE,,1,
R10,0402WGF1004TCE,,1,
"R11,R19",0402WGF1501TCE,,2,
"R17,R18,R21,R22",0402WGF2002TCE,,4,
R31,0402WGF2701TCE,,1,
"R29,R33,R38",0402WGF3300TCE,,3,
R8,0402WGF3301TCE,,1,
"R32,R35,R36",0402WGF330JTCE,,3,
R41,0402WGF4701TCE,,1,
R25,0402WGF4702TCE,,1,
D1,1N4148WSF-7,,1,
U5,"74LVC125ABQ,115",,1,
Q3,AO3415A,,1,
U7,AP3428A,,1,https://www.digikey.com/product-detail/en/diodes-incorporated/AP3428AKTTR-G1/AP3428AKTTR-G1DITR-ND/6186983
U9,AT25SF161 16MBIT,,1,https://www.digikey.com/product-detail/en/adesto-technologies/AT25SF161-SSHD-T/1265-1230-2-ND/6124893
U4,AZ1117CH-3.3TRG1,,1,
D20,BAT54ALT1G,,1,
C38,CC0402JRNPO9BN470,302010007,1,
"C2,C3,C4,C9,C11,C12,C15,C16,C55,C56,C61",CC0402KRX5R6BB105,302010040,11,
"C17,C18,C19,C20,C21,C22,C28,C29,C31,C33,C35,C36,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C57,C58,C63",CC0402KRX7R8BB104,302010024,30,
C66,CC0402KRX7R9BB102,302010005,1,
C65,CC0402KRX7R9BB222,302010022,1,
"C30,C32,C34,C37,C39,C59",CC0402MRX5R5BB106,302010053,6,
C23,CC0402MRX5R5BB225,302010233,1,
C60,CL10A226MQ8NRNC,,1,
Q4,FDV301N,,1,
U6,FE1.1S,,1,
J6,FH412-2*20P 0.8U,,1,https://www.taydaelectronics.com/connectors-sockets/2x20-pin-2-54mm-dounle-row-right-angle-female-pin-header.html
C8,GRM155R71A333KA01D,-----------------,1,
L3,LQM2MPN2R2MG0,303010086,1,
U3,MAX9744ETH+T,,1,
FB6,MMZ1608Y601BTA00,,1,
"U10,U11",MP34DT05,,2,https://www.digikey.com/product-detail/en/stmicroelectronics/MP34DT05TR-A/497-17809-1-ND/8535500
FB5,MPZ1608S102ATA00,,1,
"FB1,FB2,FB3,FB4,FB7,FB8",MPZ2012S101AT000,,6,
U12,NCP303LSN30T1G,,1,
SW1,PCM12SMTR,,1,
U2,PCM2706CPJTR,,1,https://www.digikey.com/product-detail/en/texas-instruments/PCM2706CPJTR/296-40481-1-ND/5178358
J1,PJ-090H,,1,https://www.digikey.com/product-detail/en/cui-devices/PJ-090H/102-5561-1-ND/9830192
"R1,R20,R39,R42,R47,R48,R49,R50,R51,R52",RC0402FR-0710KL,,10,
"R9,R12,R13,R14,R15,R16",RC0402FR-0722RL,,6,
R37,RC0402FR-0730KL,,1,
"R28,R53",RC0402FR-07330RL,301010466,2,
R34,RC0402FR-0743R2L,,1,
R24,RC0402FR-074R7L,,1,
R27,RC0402JR-07100KL,301010033,1,
"R23,R26,R40",RC0402JR-0747KL,301010005,3,
C6,RVT1E331M0810,-----------------,1,
X1,SG-210STF 24M,,1,https://www.digikey.com/product-detail/en/epson/SG-210STF-24.0000ML3/SER4323CT-ND/7932310
"C62,C64",SMD CAP Aluminum 470uF-16V;D8.0*H10.2mm,302030006,2,
D14,SS54F,,1,
C10,TAJA106K010RNJ,302020011,1,
"ACT1,P1,P2,P3,P4,PWR1,PWR2",TJ-S1608SW6TGLC2R-A5,,7,
"S1,S2,S3",TL3342F160QG/TR,,3,https://www.digikey.com/product-detail/en/e-switch/TL3342F160QG-TR/EG2531CT-ND/379004
L1,TMAX-1365-470-M,,1,
J7,U254-051T-4BH83-F1B,,1,
C1,VZH221M1HTR-1010, ,1,
"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13",WS2813-MINI(WS2813-3535),,12,
"Y1,Y2",X322512MSB4SI,,2,
U1,XL4015E1,,1,
U8,XVF3510,,1,https://www.digikey.com/products/en/integrated-circuits-ics/audio-special-purpose/741?k=XVF3510
