"Designator","MPN","Qty","Link"
"C1","VZH221M1HTR-1010","1","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_Lelon-VZH221M1HTR-1010_C134819.html/?href=jlc-SMT"
"C2, C9, C11, C12, C28, C29, C31, C33, C35, C36, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C57, C58, C63","302010024","28",""
"C3, C4, C15, C16, C21, C24, C55, C56, C61","CL05A105KA5NQNC","9",""
"C5, C30, C32, C34, C59, C65","302010053","6",""
"C6","RVT1E331M0810","1",""
"C7","CL05B103KB5NNNC","1",""
"C8","GRM155R71A333KA01D","1",""
"C10","CL05A475MP5NRNC","1",""
"C13, C14, C19, C20, C37, C60","CL10A226MQ8NRNE","6",""
"C17, C18","CC0603KRX7R9BB104","2",""
"C22, C23, C25, C26","CL10B224KA8NNNC","4",""
"C27, C38, C39, C62","0402B102K500NT","4",""
"C64","302030006","1",""
"C66","CA45-A-16V-1uF-K","1",""
"C67","T520D477M006ATE025","1",""
"D1","1N4148WSF-7","1",""
"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13","WS2812B-MINI(WS2812B-3535)","12","https://lcsc.com/product-detail/Others_WS2812B-Mini-WS2812B-3535_C189639.html"
"D14","SS54F","1",""
"D15","B5819W","1",""
"D20","BAT54ALT1G","1",""
"FB1, FB2, FB3, FB4, FB8","MLB3216-301P3A(f)","5",""
"FB5, FB6","MMZ1608Y601BTA00","2",""
"J1","DC-012-5A-2.0","1","https://lcsc.com/product-detail/Power-Connectors_XKB-Connectivity-DC-012-5A-2-0_C381117.html"
"J2","PJ-3210-4A","1","https://lcsc.com/product-detail/Audio-Video-Connectors_Korean-Hroparts-Elec-PJ-3210-4A_C136686.html"
"J3, J4","B2B-PH-K-S(LF)(SN)","2",""
"J6","FH412-2*20P 0.8U","1","https://www.taydaelectronics.com/connectors-sockets/2x20-pin-2-54mm-dounle-row-right-angle-female-pin-header.html"
"J7","","1",""
"J13","A2541HWR-4P","1","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541HWR-4P_C225512.html"
"L1","TMAX-1365-470-M","1","https://lcsc.com/product-detail/Power-Inductors_TDG-TMAX-1365-470-M_C429835.html"
"L2","SRR4018-1R8Y","1",""
"OpenHardware1","","1",""
"PWR1","304090042","1","https://lcsc.com/product-detail/Others_TOGIALED-TJ-S1608SW6TGLC2R-A5_C192315.html"
"Q1","","1",""
"Q3","AO3401A","1",""
"R1, R11, R17, R21, R29, R39, R48, R49, R50","RC0402FR-0710KL","9",""
"R2, R9, R18, R41, R42","0402WGF4701TCE","5",""
"R3","","1",""
"R4","","1",""
"R5","0402WGF100JTCE","1",""
"R6","0402WGF1203TCE","1",""
"R7, R10, R12, R13, R14, R15, R19, R54, R55","0603WAF0000T5E","9",""
"R8, R51","0402WGF3301TCE","2",""
"R16, R33, R47, R53, R62","0402WGF0000TCE","5",""
"R20","","1",""
"R22","301010466","1",""
"R23, R26, R40","301010005","3",""
"R24","RC0402FR-074R7L","1",""
"R27, R30","0402WGF1003TCE","2",""
"R28","0402WGF6800TCE","1",""
"R31","RTT032701FTP","1",""
"R32, R34, R35, R36, R64, R65, R66","0402WGF330JTCE","7",""
"R43, R44, R45, R46","0402WGF1000TCE","4",""
"S1, S2, S3","TL3342F160QG/TR","3","https://www.digikey.com/product-detail/en/e-switch/TL3342F160QG-TR/EG2531CT-ND/379004"
"SW1","PCM12SMTR","1",""
"TP2","","1",""
"U1","XL4501E1","1",""
"U2","","1",""
"U3","TAS5806MDDCPR","1",""
"U4","","1","https://lcsc.com/product-detail/Dropout-Regulators-LDO_ON-Semiconductor-ON-NCP565ST12T3G_C556400.html"
"U5","SN74LVC125APWR","1",""
"U6","FE1.1S","1",""
"U7","MP2359DJ-LF-Z","1",""
"U8","XVF3510-QF60-C","1","https://www.digikey.com/products/en/integrated-circuits-ics/audio-special-purpose/741?k=XVF3510"
"U9","AT25SF161-SHD-T","1","https://www.digikey.com/en/products/detail/adesto-technologies/AT25SF161-SHD-T/6827526"
"U10, U11","SPK0641HT4H-1","2","https://www.digikey.com/product-detail/en/knowles/SPK0641HT4H-1/423-1425-1-ND/8573351"
"U12","","1",""
"U13","","1",""
"U14","","1",""
"X1","SG-210STF 24.0000ML3","1","https://www.digikey.com/product-detail/en/epson/SG-210STF-24.0000ML3/SER4323CT-ND/7932310"
"Y2","X322512MSB4SI","1",""
